"time_point","term","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"ZGA1","DNA polymerase processivity factor activity","GO:0030337",0.0177819507908135,1,2,2
"ZGA1","cytoskeletal anchor activity","GO:0008093",0.01845414290005,1,2,2
"ZGA1","dynein complex binding","GO:0070840",0.01845414290005,1,2,2
"ZGA1","7S RNA binding","GO:0008312",0.0184667924926086,0.998665099098929,3,5
"ZGA1","nicotinate-nucleotide diphosphorylase (carboxylating) activity","GO:0004514",0.0193623326514635,1,2,2
"ZGA1","N-acylphosphatidylethanolamine-specific phospholipase D activity","GO:0070290",0.0194509026034638,0.998564771377006,3,5
"ZGA1","protein kinase regulator activity","GO:0019887",0.0197079763654684,1,2,2
"ZGA1","GTP binding","GO:0005525",0.0199305010449834,0.986025283307784,64,373
"ZGA1","endoribonuclease activity, producing 5'-phosphomonoesters","GO:0016891",0.0200354104484313,1,2,2
"ZGA1","peptidyl-prolyl cis-trans isomerase activity","GO:0003755",0.0229169018080388,0.991113976234097,11,44
"ZGA1","4 iron, 4 sulfur cluster binding","GO:0051539",0.0260890187381271,0.99239931004608,7,24
"ZGA1","microtubule motor activity","GO:0003777",0.0280306719739385,0.986397256993691,16,78
"ZGA1","palmitoyltransferase activity","GO:0016409",0.0281588542454072,0.991728068551868,7,23
"ZGA1","2 iron, 2 sulfur cluster binding","GO:0051537",0.0282933220820163,0.993941921536361,5,14
"ZGA1","metal ion binding","GO:0046872",0.0304473120447062,0.978628638138674,56,338
"ZGA1","protein binding","GO:0005515",0.0314147851181581,0.972022473465931,514,3720
"ZGA1","isocitrate dehydrogenase (NAD+) activity","GO:0004449",0.0335065440163208,0.996390034163433,3,6
"ZGA1","ATP transmembrane transporter activity","GO:0005347",0.0363128133810302,0.989888767986331,6,20
"ZGA1","NAD+ nucleosidase activity","GO:0003953",0.040577637144435,0.998215424590482,2,3
"ZGA1","oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water","GO:0016717",0.04362930879156,0.991768383101538,4,10
"ZGA1","FMN binding","GO:0010181",0.0445744879517527,0.991003550041838,4,12
"ZGA1","calmodulin-dependent protein kinase activity","GO:0004683",0.0455250573964763,0.997861781701476,2,3
"ZGA1","fatty acid amide hydrolase activity","GO:0017064",0.0494598971847552,0.997563382899755,2,3
"ZGA2","G protein-coupled receptor activity","GO:0004930",3.27445668736948e-29,1,680,1068
"ZGA2","transmembrane transporter activity","GO:0022857",7.65021187868626e-10,1,170,272
"ZGA2","voltage-gated potassium channel activity","GO:0005249",1.13780902358065e-07,0.999999976677059,46,58
"ZGA2","structural constituent of ribosome","GO:0003735",3.10929136396997e-06,0.999998620527722,95,146
"ZGA2","extracellular ligand-gated ion channel activity","GO:0005230",1.20878482580878e-05,0.999995945853119,51,74
"ZGA2","ligand-gated ion channel activity","GO:0015276",1.26783803131621e-05,0.999998402108198,23,27
"ZGA2","peptidase inhibitor activity","GO:0030414",0.000359878548025569,0.999953150392676,16,19
"ZGA2","phospholipase activity","GO:0004620",0.000619298114738135,1,9,9
"ZGA2","ATPase-coupled transmembrane transporter activity","GO:0042626",0.000658105520498017,0.99968751702867,57,94
"ZGA2","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","GO:0016705",0.000825889364204268,0.999540778900145,84,144
"ZGA2","iron ion binding","GO:0005506",0.000875711561533242,0.999478154287214,103,182
"ZGA2","alpha-L-arabinofuranosidase activity","GO:0046556",0.00115712057606427,1,8,8
"ZGA2","calcium ion binding","GO:0005509",0.00141682052741622,0.998900332465174,347,698
"ZGA2","ionotropic glutamate receptor activity","GO:0004970",0.00177895914292763,0.999591938486344,18,24
"ZGA2","ion channel activity","GO:0005216",0.00203280081835604,0.999036430252252,47,78
"ZGA2","potassium channel activity","GO:0005267",0.00264054381463511,0.99924907823024,22,30
"ZGA2","transmembrane signaling receptor activity","GO:0004888",0.00283333188327955,0.998448042044276,64,111
"ZGA2","aspartic-type endopeptidase activity","GO:0004190",0.00297713080135925,0.998392832649927,64,106
"ZGA2","heme binding","GO:0020037",0.00391924609656976,0.997430618730032,112,208
"ZGA2","metalloendopeptidase activity","GO:0004222",0.00437759321492493,0.997353870481293,79,144
"ZGA2","neuropeptide Y receptor activity","GO:0004983",0.00445089056213903,0.998287611550293,30,44
"ZGA2","voltage-gated sodium channel activity","GO:0005248",0.00616632801467952,0.999528700632906,8,9
"ZGA2","serine-type endopeptidase inhibitor activity","GO:0004867",0.00686776866214948,0.998568237577924,13,17
"ZGA2","L-ascorbic acid binding","GO:0031418",0.00688243436424562,0.997398528266481,25,38
"ZGA2","protein dimerization activity","GO:0046983",0.00945422650443908,0.99343312848957,125,229
"ZGA2","cobalamin binding","GO:0031419",0.014818740849458,1,5,5
"ZGA2","extracellular matrix structural constituent","GO:0005201",0.0168682283502102,0.990349935489953,49,86
"ZGA2","phospholipase A2 activity","GO:0004623",0.0184813591912922,0.997099895960459,9,11
"ZGA2","sulfotransferase activity","GO:0008146",0.0201253491126628,0.988893652935317,43,73
"ZGA2","oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor","GO:0016639",0.020287840267151,1,5,5
"ZGA2","DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981",0.0205228718217209,0.986363817769583,83,149
"ZGA2","protein-tyrosine sulfotransferase activity","GO:0008476",0.0211969841060237,0.996569961998202,9,11
"ZGA2","carbohydrate binding","GO:0030246",0.0212820370431221,0.988437385998165,39,68
"ZGA2","glutathione peroxidase activity","GO:0004602",0.0247728927467307,0.997503461032328,7,8
"ZGA2","translation elongation factor activity","GO:0003746",0.0282506941988277,0.991291668684135,13,19
"ZGA2","RNA-directed DNA polymerase activity","GO:0003964",0.029294207594396,0.979604710665497,92,169
"ZGA2","2-oxoglutarate-dependent dioxygenase activity","GO:0016706",0.0292991087862788,0.991452428950203,13,18
"ZGA2","oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor","GO:0016624",0.0333209483281869,1,4,4
"ZGA2","GABA-A receptor activity","GO:0004890",0.0344034089139064,0.990156402819918,11,16
"ZGA2","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","GO:0016620",0.0348435940319096,0.990005090999105,11,16
"ZGA2","ribonuclease III activity","GO:0004525",0.0367595533740459,0.993831180615061,7,9
"ZGA2","omega peptidase activity","GO:0008242",0.0382945400690334,1,4,4
"ZGA2","alternative oxidase activity","GO:0009916",0.0415611957914706,1,4,4
"ZGA2","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553",0.042501219547019,0.977720781083998,28,49
"ZGA2","2 iron, 2 sulfur cluster binding","GO:0051537",0.0425370179453405,0.988600114971589,10,14
"ZGA2","dihydrofolate reductase activity","GO:0004146",0.0457305486243344,1,4,4
"ZGA2","sodium channel activity","GO:0005272",0.0478079144021329,0.984105368172397,12,18
"Adult","G protein-coupled receptor activity","GO:0004930",1.11797259598833e-20,1,675,1068
"Adult","protein tyrosine kinase activity","GO:0004713",7.55424660619636e-11,1,123,166
"Adult","scavenger receptor activity","GO:0005044",3.22967506083016e-07,0.999999931201497,50,61
"Adult","carbohydrate binding","GO:0030246",1.73894437167135e-06,0.999999535635122,53,68
"Adult","ADP binding","GO:0043531",2.22792403810341e-06,0.999999729851123,30,34
"Adult","peptidase inhibitor activity","GO:0030414",2.51790191980158e-06,1,19,19
"Adult","transmembrane transporter activity","GO:0022857",3.45606059371728e-06,0.999998743965769,171,272
"Adult","extracellular matrix structural constituent","GO:0005201",8.9508340519217e-06,0.999996889002896,63,86
"Adult","carbonate dehydratase activity","GO:0004089",1.88214314259195e-05,0.999997893524123,24,27
"Adult","calcium ion binding","GO:0005509",2.39517186839419e-05,0.999983105019015,402,698
"Adult","glutathione hydrolase activity","GO:0036374",0.000104046995679595,1,13,13
"Adult","L-ascorbic acid binding","GO:0031418",0.000177607457288399,0.999957334911678,30,38
"Adult","transmembrane receptor protein tyrosine kinase activity","GO:0004714",0.000207096887613569,0.999953264723646,28,35
"Adult","NAD+ ADP-ribosyltransferase activity","GO:0003950",0.000221381329022764,0.999936322859595,35,46
"Adult","transmembrane signaling receptor activity","GO:0004888",0.000372100384767133,0.999819903649195,73,111
"Adult","RNA-directed 5'-3' RNA polymerase activity","GO:0003968",0.000424783140024629,1,11,11
"Adult","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553",0.000529754201206579,0.999826542179691,36,49
"Adult","extracellular ligand-gated ion channel activity","GO:0005230",0.000537179937677638,0.999777367107434,51,74
"Adult","ligand-gated ion channel activity","GO:0015276",0.000608610994765149,0.999877992642933,22,27
"Adult","metalloendopeptidase activity","GO:0004222",0.000803279271892279,0.999557332241017,91,144
"Adult","serine-type endopeptidase inhibitor activity","GO:0004867",0.00175725026185903,0.999782518417078,15,17
"Adult","ribonuclease III activity","GO:0004525",0.00176901470787218,1,9,9
"Adult","serine-type endopeptidase activity","GO:0004252",0.00177082345625281,0.999040369145825,76,120
"Adult","GABA-A receptor activity","GO:0004890",0.00180602942746489,0.999780861579199,14,16
"Adult","aspartic-type endopeptidase activity","GO:0004190",0.00285356871989636,0.998471699398526,67,106
"Adult","symporter activity","GO:0015293",0.00356406059464411,1,8,8
"Adult","voltage-gated potassium channel activity","GO:0005249",0.004702115050028,0.997932452285059,39,58
"Adult","phospholipase A2 activity","GO:0004623",0.00521787897216496,0.99957522736495,10,11
"Adult","lyase activity","GO:0016829",0.00567768986512348,0.999215158958123,12,14
"Adult","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","GO:0016702",0.00576858041314337,0.997919307472168,27,38
"Adult","tumor necrosis factor receptor binding","GO:0005164",0.00579622152000587,0.99894597022958,14,17
"Adult","beta-galactosidase activity","GO:0004565",0.00624746343117299,0.999121718607353,12,14
"Adult","acetyltransferase activity","GO:0016407",0.00715271902497628,1,7,7
"Adult","chitin binding","GO:0008061",0.00827861444552375,0.997311163693376,22,30
"Adult","cyclic-di-GMP binding","GO:0035438",0.0144882540667812,1,6,6
"Adult","secondary active sulfate transmembrane transporter activity","GO:0008271",0.0144887408606038,1,6,6
"Adult","voltage-gated chloride channel activity","GO:0005247",0.0148437597799346,1,6,6
"Adult","phosphorus-oxygen lyase activity","GO:0016849",0.0151218811143014,1,6,6
"Adult","acetylcholine-gated cation-selective channel activity","GO:0022848",0.017103067516938,0.993195476110264,24,35
"Adult","transcription regulatory region sequence-specific DNA binding","GO:0000976",0.0173938452837711,0.99720116443089,10,12
"Adult","voltage-gated sodium channel activity","GO:0005248",0.0183953038687712,0.998188210379574,8,9
"Adult","catalase activity","GO:0004096",0.018595694642449,0.992524622662156,24,35
"Adult","phospholipase activity","GO:0004620",0.0187633980599981,0.9981428414833,8,9
"Adult","ubiquitin-protein transferase activity","GO:0004842",0.0188902935306779,0.986503092297024,128,225
"Adult","ferroxidase activity","GO:0004322",0.029345894332002,1,5,5
"Adult","hormone activity","GO:0005179",0.0293458943320771,1,5,5
"Adult","cobalamin binding","GO:0031419",0.0294003343949268,1,5,5
"Adult","thyroxine 5'-deiodinase activity","GO:0004800",0.029798973152489,0.994782129638694,9,11
"Adult","procollagen-proline 4-dioxygenase activity","GO:0004656",0.0325382853858369,0.996464087558335,7,8
"Adult","beta-N-acetylhexosaminidase activity","GO:0004563",0.0330034891216326,0.996399118124834,7,8
"Adult","alpha-L-arabinofuranosidase activity","GO:0046556",0.0331506367436019,0.996378507005524,7,8
"Adult","ammonium transmembrane transporter activity","GO:0008519",0.0344317105277408,0.990676406877324,12,16
"Adult","melanocortin receptor activity","GO:0004977",0.0430262792671628,0.986500032110575,13,18
"Adult","alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity","GO:0030144",0.0442804181459512,0.989328238196439,10,13
